question,option1,option2,option3,option4,answer
What is the correct form? She (be) late to the meeting.,is,are,was,were,is
What is the superlative form of 'tall'?,taller,tallest,much tall,tallest,tallest
Identify the error: He have gone home.,have,has,having,had,has
Fill in the blank: If it (be) sunny, we will go out.,is,was,were,be,is
What is the correct plural of 'leaf'?,leafs,leaves,leafes,leaves
Choose the correct sentence: He does not likes the movie.,He does not like the movie.,He do not like the movie.,He doesn't likes the movie.,He does not like the movie.
What is the correct form? She (eat) breakfast every morning.,eats,eating,ate,eat,eats
Which word is a verb?,beautifully,run,fast,quickly,run
Identify the error: I have went to the store.,went,gone,go,going,gone
What is the past participle of 'sing'?,sang,sung,singed,singing,sung
Fill in the blank: We (go) to the party last night.,went,goes,going,go,went
What is the correct form? He (not/like) spicy food.,doesn't like,not like,don't like,does not like,doesn't like
What is the comparative form of 'funny'?,funnier,more funny,funnest,funnier,funnier
Choose the correct sentence: She have three cats.,She has three cats.,She have cat.,She has three cat.,She has three cats.
What is the correct plural of 'person'?,persons,people,peoples,persons,people
Identify the error: There is many options.,is,are,was,were,are
Fill in the blank: I (see) him yesterday.,saw,see,seeing,seen,saw
What is the correct form? If she (call), I will answer.,calls,call,called,calling,calls
What is the superlative form of 'rich'?,richest,more rich,most rich,richest,richest
Choose the correct sentence: He doesn't speaks French.,He doesn't speak French.,He don't speak French.,He not speak French.,He doesn't speak French.
What is the correct form? She (take) the train to work.,takes,take,taking,taken,takes
Which word is an article?,the,beautiful,quickly,run,the
Identify the error: I have saw him.,saw,seen,see,seeing,seen
What is the past tense of 'drink'?,drank,drinked,drunk,drinking,drank
What is the correct form? They (be) ready for the test.,are,were,was,been,are
What is the correct plural of 'fish'?,fishs,fishes,fish,fish,fishes
Fill in the blank: She (like) to read books.,likes,like,liked,liking,likes
What is the comparative form of 'easy'?,easier,easiest,more easy,easy,easier
Choose the correct sentence: I can speaks English.,I can speak English.,I can speaking English.,I can spoke English.,I can speak English.
What is the correct form? If he (finish) the work, he can go home.,finishes,finished,finishing,finish,finishes
Identify the error: The team are winning.,are,is,was,were,is
Fill in the blank: They (visit) us last summer.,visited,visit,visits,visiting,visited
What is the correct plural of 'baby'?,babys,babies,babys,babies
What is the correct form? She (go) to school every day.,goes,going,gone,go,goes
Which word is a pronoun?,he,quickly,beautiful,fast,he
What is the correct form? He (not/know) the answer.,doesn't know,not know,don't know,does not know,doesn't know
What is the superlative form of 'small'?,smaller,smallest,most small,smallest,smallest
Choose the correct sentence: She do her homework every day.,She does her homework every day.,She does homework every day.,She doing her homework every day.,She does her homework every day.
What is the correct form? I (see) a movie last night.,saw,see,seeing,seen,saw
Identify the error: Everyone are happy.,are,is,was,were,is
Fill in the blank: If you (study), you will pass.,study,studies,studied,studying,study
What is the correct form? He (not/like) to swim.,doesn't like,not like,don't like,does not like,doesn't like
What is the comparative form of 'cheap'?,cheaper,cheapest,more cheap,most cheap,cheaper
What is the past tense of 'teach'?,taught,teach,teached,teaches,taught
